date,open,high,low,close,adj_close,volume,H-L,O-C,7_DAYS_MA,14_DAYS_MA,21_DAYS_MA,7_DAYS_STD_DEV
2021-11-18,2982.92,3032.2,2979.97,3014.18,3014.18,1334120.0,52.23000000000002,31.259999999999764,2975.012857142857,2963.1507142857145,2928.46,30.29812134668997
2021-11-19,3020.0,3037.0,2997.75,2999.05,2999.05,989148.0,39.25,-20.949999999999818,2984.5171428571434,2971.977142857143,2935.2904761904765,24.65656823523291
2021-11-22,3002.8352,3014.89,2940.11,2941.57,2941.57,1231385.0,74.77999999999975,-61.26519999999982,2985.4614285714283,2973.713571428572,2943.341428571429,22.47214233107769
2021-11-23,2942.26,2953.88,2897.79,2935.14,2935.14,906657.0,56.090000000000146,-7.120000000000346,2977.2085714285713,2973.6664285714287,2950.9452380952384,28.95393031953116
2021-11-24,2927.0,2940.0,2903.98,2934.35,2934.35,823203.0,36.01999999999998,7.349999999999909,2969.578571428571,2970.8585714285714,2957.655238095238,32.5268778235525
2021-11-26,2900.31,2905.9404,2849.71,2856.12,2856.12,849606.0,56.23039999999992,-44.190000000000055,2951.664285714286,2961.6657142857143,2954.2061904761904,52.96505919220838
2021-11-29,2885.97,2937.24,2885.97,2922.28,2922.28,1313806.0,51.26999999999998,36.3100000000004,2943.2414285714285,2957.0407142857143,2954.191904761905,52.15982918826017
2021-11-30,2909.005,2932.57,2841.32,2849.04,2849.04,2079526.0,91.25,-59.965000000000146,2919.6500000000005,2947.3314285714287,2948.650476190476,52.073067894990174
2021-12-01,2884.25,2929.9825,2830.0,2832.36,2832.36,1427289.0,99.98250000000007,-51.88999999999987,2895.837142857143,2940.1771428571433,2946.597142857143,47.63654994300685
2021-12-02,2836.48,2893.5,2819.64,2875.53,2875.53,1062535.0,73.86000000000013,39.05000000000018,2886.402857142857,2935.932142857143,2944.61,43.422902833327925
2021-12-03,2889.91,2904.2599,2823.0,2850.41,2850.41,1334374.0,81.25990000000002,-39.5,2874.2985714285714,2925.753571428571,2940.5438095238096,39.174548467283934
2021-12-06,2871.48,2887.03,2812.94,2875.93,2875.93,1109885.0,74.09000000000015,4.449999999999818,2865.9528571428573,2917.7657142857142,2935.89,29.202746283060005
2021-12-07,2919.0,2966.0,2914.05,2960.73,2960.73,1162914.0,51.94999999999982,41.73000000000002,2880.8971428571426,2916.280714285714,2934.7428571428572,45.532959386280574
2021-12-08,2966.63,2983.13,2944.0,2974.41,2974.41,948197.0,39.13000000000011,7.779999999999745,2888.344285714286,2915.792857142857,2934.1419047619047,56.39650753283565
2021-12-09,2963.52,2992.1,2950.58,2962.12,2962.12,929030.0,41.51999999999998,-1.400000000000091,2904.4985714285713,2912.074285714286,2933.0538095238094,59.378305361599615
2021-12-10,2982.0,2988.0,2947.15,2973.5,2973.5,1081923.0,40.84999999999991,-8.5,2924.661428571428,2910.2492857142856,2935.005238095238,54.5682094350601
2021-12-13,2968.88,2971.25,2927.2,2934.09,2934.09,1205196.0,44.05000000000018,-34.789999999999964,2933.0271428571427,2909.7149999999997,2934.9638095238092,50.08532942694573
2021-12-14,2895.4,2908.84,2844.85,2899.41,2899.41,1238940.0,63.99000000000024,4.0099999999997635,2940.0271428571427,2907.162857142857,2930.5114285714285,38.7572817735235
2021-12-15,2887.32,2950.345,2854.11,2947.37,2947.37,1364048.0,96.23499999999967,60.04999999999973,2950.2328571428566,2908.092857142857,2928.5880952380953,26.54913351641122
2021-12-16,2961.54,2971.03,2881.85,2896.77,2896.77,1369987.0,89.18000000000029,-64.76999999999998,2941.095714285714,2910.996428571428,2924.552380952381,32.64152358424552
2021-12-17,2854.29,2889.2019,2835.76,2856.06,2856.06,2170235.0,53.441899999999805,1.7699999999999818,2924.1885714285713,2906.266428571428,2918.5914285714284,41.859059325494236
2021-12-20,2813.5919,2852.21,2805.0,2848.03,2848.03,1013176.0,47.210000000000036,34.438100000000304,2907.89,2906.1942857142853,2910.6795238095237,46.57416272279755
2021-12-21,2863.0,2893.8413,2834.7,2884.41,2884.41,977597.0,59.14130000000023,21.409999999999854,2895.162857142857,2909.9121428571425,2905.220476190476,36.80510141913157
2021-12-22,2882.0,2946.06,2879.26,2938.98,2938.98,922024.0,66.79999999999973,56.98000000000002,2895.8614285714284,2914.444285714286,2905.0971428571424,37.702556247758736
2021-12-23,2941.79,2971.4519,2939.0168,2942.85,2942.85,690934.0,32.43510000000015,1.0599999999999454,2902.067142857143,2921.047142857143,2905.464285714286,41.74257168015065
2021-12-27,2949.27,2968.53,2945.0,2961.28,2961.28,662966.0,23.5300000000002,12.010000000000218,2904.0542857142855,2927.1435714285717,2906.746666666667,44.49873813081012
2021-12-28,2967.49,2967.49,2918.71,2928.96,2928.96,931792.0,48.779999999999745,-38.529999999999745,2908.652857142857,2924.8742857142856,2910.215238095238,45.27698448224901
2021-12-29,2928.59,2943.675,2910.09,2930.09,2930.09,851236.0,33.585000000000036,1.5,2919.2285714285713,2921.7085714285713,2910.587142857143,39.18046767989489
2021-12-30,2929.0,2941.25,2915.17,2920.05,2920.05,648851.0,26.079999999999927,-8.949999999999818,2929.5171428571434,2918.703571428571,2913.968571428571,23.80864528847419
2021-12-31,2910.88,2927.3,2893.55,2893.59,2893.59,847077.0,33.75,-17.289999999999964,2930.8285714285716,2912.9957142857143,2916.884285714286,20.996729450446026
2022-01-03,2889.51,2911.0,2870.05,2901.49,2901.49,1261225.0,40.94999999999982,11.979999999999563,2925.472857142857,2910.667142857143,2918.120476190476,23.233223850176238
2022-01-04,2911.01,2932.2,2876.3225,2888.33,2888.33,1146389.0,55.8774999999996,-22.68000000000029,2917.684285714286,2909.8757142857144,2919.9261904761906,25.467920905216072
2022-01-05,2883.62,2885.96,2750.47,2753.07,2753.07,2482076.0,135.49000000000024,-130.54999999999973,2887.94,2895.997142857143,2914.0757142857146,61.77365808602985
2022-01-06,2749.95,2793.72,2735.27,2751.02,2751.02,1452452.0,58.44999999999982,1.0700000000001637,2862.5200000000004,2885.5864285714283,2904.0895238095236,76.85171891374017
2022-01-07,2758.1,2765.0949,2715.78,2740.09,2740.09,970412.0,49.31489999999985,-18.009999999999764,2835.377142857143,2877.3028571428576,2892.931428571429,82.36441114829987
2022-01-10,2701.98,2772.8,2662.81,2771.48,2771.48,1704784.0,109.99000000000024,69.5,2814.152857142857,2871.835,2883.8533333333335,75.78856261868455
2022-01-11,2763.61,2806.59,2736.27,2800.35,2800.35,1148153.0,70.32000000000016,36.73999999999978,2800.832857142857,2865.8307142857143,2875.6080952380953,67.20830769931884
2022-01-12,2831.09,2856.2849,2822.24,2832.96,2832.96,1182079.0,34.044900000000325,1.8699999999998909,2791.0428571428574,2858.257857142857,2870.792380952381,53.74495936494601
2022-01-13,2836.81,2863.71,2778.28,2782.62,2782.62,1328254.0,85.42999999999984,-54.190000000000055,2775.941428571429,2846.812857142857,2865.230952380952,32.508738019430226
2022-01-14,2750.0,2824.01,2750.0,2795.73,2795.73,1191296.0,74.01000000000022,45.73000000000002,2782.035714285714,2834.987857142857,2858.0099999999998,31.48918166452796
2022-01-18,2732.0,2747.8299,2712.34,2725.81,2725.81,1347275.0,35.489900000000034,-6.190000000000055,2778.434285714286,2820.477142857143,2849.8690476190477,36.646909308994395
2022-01-19,2738.77,2767.99,2710.0,2713.04,2713.04,1002757.0,57.98999999999978,-25.730000000000018,2774.5699999999997,2804.973571428571,2843.0585714285717,42.346930624665745
2022-01-20,2730.28,2758.24,2662.89,2670.13,2670.13,1096528.0,95.34999999999991,-60.15000000000009,2760.0914285714284,2787.122142857143,2834.587142857143,58.009104868253516
2022-01-21,2660.24,2695.21,2600.02,2601.84,2601.84,2095961.0,95.19000000000005,-58.399999999999636,2731.7328571428575,2766.282857142857,2821.131428571429,79.5651091275146
2022-01-24,2520.55,2615.57,2492.839,2607.44,2607.44,2764602.0,122.73100000000022,86.88999999999987,2699.5157142857142,2745.2792857142854,2805.3438095238093,77.37334744752471
2022-01-25,2568.71,2586.77,2527.56,2534.71,2534.71,1800430.0,59.210000000000036,-34.0,2664.1,2720.0207142857143,2785.9085714285716,88.8767881207694
2022-01-26,2611.85,2656.15,2543.07,2584.8,2584.8,1981544.0,113.07999999999993,-27.049999999999727,2633.967142857143,2708.0014285714283,2767.980952380952,70.7113974109347
2022-01-27,2627.22,2652.1988,2578.9,2582.42,2582.42,1514251.0,73.29880000000003,-44.79999999999973,2613.4828571428575,2695.9585714285713,2751.4790476190474,59.561405488850326
2022-01-28,2600.0,2667.41,2573.89,2665.79,2665.79,1525878.0,93.51999999999998,65.78999999999996,2606.7328571428575,2690.6514285714284,2738.8933333333334,47.942397977231856
2022-01-31,2683.96,2716.87,2645.48,2713.97,2713.97,1702778.0,71.38999999999987,30.009999999999764,2612.9957142857143,2686.5435714285713,2729.08,59.15640930535321
2022-02-01,2756.7,2764.0,2691.3645,2757.57,2757.57,2560160.0,72.63549999999987,0.8700000000003456,2635.2428571428572,2683.487857142857,2722.602857142857,79.90578946780886
2022-02-02,3037.27,3042.0,2911.1501,2960.73,2960.73,4487538.0,130.84990000000016,-76.53999999999996,2685.712857142857,2692.6142857142854,2725.4238095238097,144.71117564701146
2022-02-03,2905.9,2982.3544,2844.1,2853.01,2853.01,2846507.0,138.25440000000026,-52.88999999999987,2731.184285714286,2697.6421428571434,2723.741904761905,139.2604643413505
2022-02-04,2860.34,2890.705,2796.35,2860.32,2860.32,2461220.0,94.35500000000002,-0.01999999999998181,2770.5442857142857,2702.2557142857145,2728.8490476190477,129.59171010743077
2022-02-07,2874.18,2876.9299,2773.98,2778.76,2778.76,2230537.0,102.94990000000007,-95.41999999999962,2798.592857142857,2706.037857142857,2730.17,99.94478687658668
2022-02-08,2779.825,2796.7424,2737.46,2784.26,2784.26,1712752.0,59.28240000000005,4.4350000000004,2815.5171428571425,2711.125,2732.273333333333,82.1559232423703
2022-02-09,2816.995,2843.51,2807.54,2829.06,2829.06,1431358.0,35.970000000000255,12.065000000000055,2831.9585714285718,2722.477142857143,2735.015238095238,68.89232793000733
2022-02-10,2790.0,2828.62,2761.0,2772.05,2772.05,1650885.0,67.61999999999989,-17.949999999999818,2834.027142857143,2734.6349999999998,2733.667619047619,66.4609428446974
2022-02-11,2775.0,2785.665,2665.77,2682.6,2682.6,1940440.0,119.89499999999998,-92.40000000000009,2794.2942857142853,2740.003571428572,2726.507619047619,61.00274252224168
2022-02-14,2667.31,2723.3299,2666.04,2706.0,2706.0,1339640.0,57.289900000000216,38.690000000000055,2773.292857142857,2752.238571428571,2722.8590476190475,62.70158602837022
2022-02-15,2749.43,2758.0,2710.7901,2728.51,2728.51,1328878.0,47.209899999999834,-20.919999999999618,2754.4628571428575,2762.503571428572,2719.658095238095,50.889965845994915
2022-02-16,2728.61,2758.92,2696.4728,2749.75,2749.75,1280483.0,62.447200000000066,21.139999999999873,2750.3185714285714,2774.4557142857147,2720.7980952380954,49.749984733157504
2022-02-17,2723.0,2736.79,2644.04,2646.17,2646.17,1548406.0,92.75,-76.82999999999993,2730.5914285714284,2773.054285714286,2717.6138095238093,60.3063693232272
2022-02-18,2660.75,2676.48,2606.1405,2609.35,2609.35,1592930.0,70.33950000000004,-51.40000000000009,2699.2042857142856,2765.5814285714287,2714.7195238095237,57.63173947778537
2022-02-22,2599.7,2638.015,2554.82,2588.05,2588.05,1922576.0,83.19499999999971,-11.649999999999636,2672.9185714285713,2753.4728571428573,2714.062857142857,60.746344314834055
2022-02-23,2621.57,2634.98,2550.07,2551.7,2551.7,1321564.0,84.90999999999985,-69.87000000000035,2654.218571428571,2724.2564285714284,2711.4085714285716,75.60102742434431
2022-02-24,2500.0,2660.74,2495.29,2653.47,2653.47,2158254.0,165.44999999999982,153.4699999999998,2646.714285714286,2710.003571428572,2717.063809523809,72.13198085386402
2022-02-25,2670.51,2707.78,2635.3,2690.39,2690.39,1311793.0,72.48000000000002,19.879999999999654,2641.2685714285712,2697.865714285714,2722.091904761905,66.115523247443
